"Research that uses data from D-PLACE should cite both the original source(s) of the data and the paper by Kirby et al. in which D-PLACE was first presented (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001); Binford and Johnson (2006); Kirby et al. 2016)."" The reference list should include the date data were accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001), Binford and Johnson (2006), and Kirby et al. 2016."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: B004 Subsistence economy: Most important activity,Code: B004 Subsistence economy: Most important activity,Description: B004 Subsistence economy: Most important activity,Comment: B004 Subsistence economy: Most important activity,Subcase: B004 Subsistence economy: Most important activity,References: B004 Subsistence economy: Most important activity,Focal Year: B037 Ownership of resource locations ,Code: B037 Ownership of resource locations ,Description: B037 Ownership of resource locations ,Comment: B037 Ownership of resource locations ,Subcase: B037 Ownership of resource locations ,References: B037 Ownership of resource locations ,Focal Year: B031 Type of social class distinction,Code: B031 Type of social class distinction,Description: B031 Type of social class distinction,Comment: B031 Type of social class distinction,Subcase: B031 Type of social class distinction,References: B031 Type of social class distinction
Binford Hunter-Gatherer,Yuqui,B44,xd918,Yuqui (B44),,,-16.46,-64.97,-16.46,-64.97,yuqu1240,Yuqui,yuq,Tupian,1968,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Stearman (1989),1968,1,"No ownership reported, use rights recognized by others",,,Stearman (1989),1968,1,Absence of any significant class distinctions,,,Stearman (1989)
Binford Hunter-Gatherer,Western Mono,B157,xd1122,Monache (B157),,,36.6,-117.08,36.6,-117.08,mono1275,Mono (USA),mnr,Uto-Aztecan,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gayton (1948a); Gayton (1948b); Gifford (1932b),1870,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Gayton (1948a); Gayton (1948b); Gifford (1932b),1870,1,Absence of any significant class distinctions,,,Gayton (1948a); Gayton (1948b); Gifford (1932b)
Binford Hunter-Gatherer,Orogens,B23,xd915,Orogens (B23),,,51.91,122.5,51.91,122.5,oroq1238,Oroqen,orh,Tungusic,1900,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Qiu (1983),1900,1,"No ownership reported, use rights recognized by others",,,Qiu (1983),1900,2,Wealth distinctions only,,,Qiu (1983)
Binford Hunter-Gatherer,Northern Pomo,B173,xd1115,Nothern Pomo (B173),Pomo,NS18,39.34,-123.29,39.34,-123.29,nort2966,Northern Pomo,pej,Pomoan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Barrett (1908); Cook (1956); Gifford (1926b); Loeb (1926b),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Barrett (1908); Cook (1956); Gifford (1926b); Loeb (1926b),1860,2,Wealth distinctions only,,,Barrett (1908); Cook (1956); Gifford (1926b); Loeb (1926b)
Binford Hunter-Gatherer,Nomlaki,B153,xd1107,Nomlaki (B153),,,40.0,-122.56,40.0,-122.56,noml1242,Nomlaki,,Wintuan,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gifford (1926b); Goldschmidt (1948); Goldschmidt pers. comm. (1966),1850,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Gifford (1926b); Goldschmidt (1948); Goldschmidt pers. comm. (1966),1850,2,Wealth distinctions only,,,Gifford (1926b); Goldschmidt (1948); Goldschmidt pers. comm. (1966)
Binford Hunter-Gatherer,Paliyans,B17,xd910,Paliyans (B17),,,9.75,77.5,9.75,77.5,pali1274,Paliyan,pcf,Dravidian,1963,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gardner (1965); Gardner (1972); Gardner (1988),1963,1,"No ownership reported, use rights recognized by others",,,Gardner (1965); Gardner (1972); Gardner (1988),1963,1,Absence of any significant class distinctions,,,Gardner (1965); Gardner (1972); Gardner (1988)
Binford Hunter-Gatherer,Pumé,B38,xd1345,Yaruro-Pume (B38),Pumé,SS19,6.85,-68.77,6.85,-68.77,pume1238,Pumé,yae,Pumé,1989,3,Majority of a group's nutritional intake comes from aquatic resources,,,Gragson (1989); Greaves pers. comm. (1993); Petrullo (1939),1989,1,"No ownership reported, use rights recognized by others",,,Gragson (1989); Greaves pers. comm. (1993); Petrullo (1939),1989,1,Absence of any significant class distinctions,,,Gragson (1989); Greaves pers. comm. (1993); Petrullo (1939)
Binford Hunter-Gatherer,Ooldea,B127,xd972,Ooldea (B127),,,-30.38,131.81,-30.38,131.81,wira1265,Wirangu,wgu,Pama-Nyungan,1941,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Berndt and Berndt (1944); Long (1970),1941,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Berndt and Berndt (1944); Long (1970),1941,1,Absence of any significant class distinctions,,,Berndt and Berndt (1944); Long (1970)
Binford Hunter-Gatherer,Wadadokado,B231,xd1155,Wadadokado Paiute (B231),Northern Paiute,NR13,43.25,-119.14,43.25,-119.14,nort1551,North Northern Paiute,,Uto-Aztecan,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Whiting (1950),1870,1,"No ownership reported, use rights recognized by others",,,Whiting (1950),1870,1,Absence of any significant class distinctions,,,Whiting (1950)
Binford Hunter-Gatherer,Sanpoil,B323,xd1174,Sanpoil (B323),Southeast,NR19,47.94,-118.44,47.94,-118.44,sanp1257,Sanpoil,,Salishan,1870,3,Majority of a group's nutritional intake comes from aquatic resources,,,Kelly (1995); Ray (1932); Teit (1930),1870,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Kelly (1995); Ray (1932); Teit (1930),1870,1,Absence of any significant class distinctions,,,Kelly (1995); Ray (1932); Teit (1930)
